index,Year,State,Sport,Boys School,Girls School,Boys Participation,Girls Participation
215,2018/2019,AZ,Ice Hockey,0.0,0.0,0.0,0.0
216,2018/2019,AZ,Judo,0.0,0.0,0.0,0.0
217,2018/2019,AZ,Kayaking,0.0,0.0,0.0,0.0
218,2018/2019,AZ,Lacrosse,0.0,0.0,0.0,0.0
219,2018/2019,AZ,Martial Arts,0.0,0.0,0.0,0.0
220,2018/2019,AZ,Mixed 6-Coed Volleyball,0.0,0.0,0.0,0.0
221,2018/2019,AZ,Mt. Biking,0.0,0.0,0.0,0.0
222,2018/2019,AZ,Native Youth Olympics,0.0,0.0,0.0,0.0
223,2018/2019,AZ,Riflery,0.0,0.0,0.0,0.0
224,2018/2019,AZ,Rock Climbing,0.0,0.0,0.0,0.0
225,2018/2019,AZ,Rodeo,0.0,0.0,0.0,0.0
226,2018/2019,AZ,Roller Hockey,0.0,0.0,0.0,0.0
227,2018/2019,AZ,Rugby,0.0,0.0,0.0,0.0
228,2018/2019,AZ,Rythmic Gymnastics,0.0,0.0,0.0,0.0
229,2018/2019,AZ,Sailing,0.0,0.0,0.0,0.0
230,2018/2019,AZ,Sand Volleyball,0.0,65.0,0.0,951.0
231,2018/2019,AZ,Skiing -- Alpine,0.0,0.0,0.0,0.0
232,2018/2019,AZ,Skiing -- Cross Country,0.0,0.0,0.0,0.0
233,2018/2019,AZ,Snowboarding,0.0,0.0,0.0,0.0
234,2018/2019,AZ,Soccer,212.0,190.0,7848.0,6489.0
235,2018/2019,AZ,Softball -- Fast Pitch,0.0,240.0,0.0,6690.0
236,2018/2019,AZ,Softball -- Slow Pitch,0.0,0.0,0.0,0.0
237,2018/2019,AZ,Soft Tennis,0.0,0.0,0.0,0.0
238,2018/2019,AZ,Squash,0.0,0.0,0.0,0.0
239,2018/2019,AZ,Surfing,0.0,0.0,0.0,0.0
240,2018/2019,AZ,Swimming & Diving,156.0,157.0,2641.0,3232.0
241,2018/2019,AZ,Synchronized Swimming,0.0,0.0,0.0,0.0
242,2018/2019,AZ,Team Tennis,0.0,0.0,0.0,0.0
243,2018/2019,AZ,Tennis,174.0,179.0,2131.0,2672.0
244,2018/2019,AZ,Track and Field -- Indoor,0.0,0.0,0.0,0.0
245,2018/2019,AZ,Track and Field -- Outdoor,243.0,244.0,8984.0,6530.0
246,2018/2019,AZ,Trap Shooting,0.0,0.0,0.0,0.0
247,2018/2019,AZ,Ultimate Frisbee,0.0,0.0,0.0,0.0
248,2018/2019,AZ,Unified Basketball,0.0,0.0,0.0,0.0
